연번,업체명,대표자명(익명),벤처확인유형,지역,주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규_재확인
19557,테크온미디어(주),김**,연구개발유형,서울,서울 영등포구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"소프트웨어개발및 공급업,인터넷 전자상거래 및 통신판매업,컴퓨터프로그래밍,데이터베이스및 온라인정보제공업,정보처리기술에 관한 전문적서비스",2025-02-19,2028-02-18,벤처기업확인기관,재확인
19558,주식회사 서중,채**,벤처투자유형,강원,강원특별자치도 원주시,제조업,셔츠 및 블라우스 제조업,여성 기본 의류,2025-01-07,2028-01-06,벤처기업확인기관,신규
19559,주식회사 세이프웨이,김**,벤처투자유형,서울,서울특별시 금천구,제조업,산업용 로봇 제조업,로봇응용시스템,2024-12-12,2027-12-11,벤처기업확인기관,재확인
19560,주식회사 랩에이엠24,이**,혁신성장유형,대전,대전광역시 유성구,연구개발서비스,기타 공학 연구개발업,3D프린터 출력 서비스,2025-03-26,2028-03-25,벤처기업확인기관,신규
19561,㈜오엠씨,황**,혁신성장유형,경기,경기도 화성시,제조업,"박판, 합판 및 유사 적층판 제조업","PET보드, PET가구용 문짝, PVC/PP/ASA데코시트",2025-01-05,2028-01-04,벤처기업확인기관,재확인
19562,주식회사 나르마,권**,벤처투자유형,대전,대전 유성구,제조업,무인 항공기 및 무인 비행장치 제조업,"무인항공기,무인비행장치,측정,시험,제어,정밀기기 제조,도소매/전자상거래/무인항공기,무인비행장치 연구개발/소프트웨어 개발,공급",2025-02-19,2028-02-18,벤처기업확인기관,재확인
19563,(주)스타아미이엔텍,정**,혁신성장유형,인천,인천 부평구,제조업,수동식 식품 가공기기 및 금속 주방용기 제조업,"스테인리스 와이어 주방용품, 배수구망",2025-01-26,2028-01-25,벤처기업확인기관,재확인
19564,신영산업사,박**,연구개발유형,경북,경상북도 칠곡군,제조업,플라스틱 필름 제조업,플라스틱필름,2025-02-19,2028-02-18,벤처기업확인기관,재확인
19565,(주) 포레코,김**,혁신성장유형,전북,전라북도 전주시,제조업,그 외 기타 특수목적용 기계 제조업,펠렛성형기치퍼기분쇄기오일여과기유기물고속발효건조기부품류여과필터류,2025-02-07,2028-02-06,벤처기업확인기관,재확인
19566,주식회사 하이드로켐,"심**,서**",벤처투자유형,강원,강원특별자치도 강릉시,제조업,"물질 검사, 측정 및 분석기구 제조업",수소센서,2025-01-19,2028-01-18,벤처기업확인기관,재확인
19567,(주)프레쉬엔,정**,혁신성장유형,서울,서울 강남구,기타,그 외 기타 분류 안된 사업지원 서비스업,"기타사업지원서비스업,공기 조화장치 제조업,산업용 송풍기 및 배기장치 제조업,기체 여과기 제조업,증류기, 열 교환기 및 가스 발생기 제조업,자동제어시스템,",2025-02-05,2028-02-04,벤처기업확인기관,신규
19568,(주)컴아트시스템,설**,연구개발유형,서울,서울특별시 금천구,제조업,기타 무선 통신장비 제조업,"방송, 의료, 고속 카메라 / 영상처리기기",2025-01-02,2028-01-01,벤처기업확인기관,재확인
19569,유한회사 만성스틸,이**,혁신성장유형,전북,전북특별자치도 군산시,제조업,그 외 기타 1차 철강 제조업,"철구조물,전문건설하도급",2025-03-05,2028-03-04,벤처기업확인기관,신규
19570,(주)대한과학,서**,혁신성장유형,강원,강원특별자치도 원주시,도소매업,정밀기기 및 과학기기 도매업,"과학기자재, 실험실용 장비 등(연구용소모품, 분석측정장비, 가열/혼합기, 건조/배양기, 고압멸균기 등)",2025-02-16,2028-02-15,벤처기업확인기관,재확인
19571,오렌지시스 주식회사,김**,혁신성장유형,서울,서울 금천구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"네트워크 및 보안, 시스템 통합 컨설팅, 유지보수 등",2024-12-28,2027-12-27,벤처기업확인기관,재확인
19572,주식회사 링크커넥션,유**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"소프트웨어 개발 및 공급업,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,광고 매체 판매업",2025-12-23,2028-12-22,벤처기업확인기관,신규
19573,주식회사 스튜디오콜렉티브,차**,혁신성장유형,서울,서울특별시 용산구,기타,시각 디자인업,"화분커버, 그래픽 디자인, 웹디자인",2024-12-01,2027-11-30,벤처기업확인기관,재확인
19574,주식회사 더근강한사람들,권**,혁신성장유형,경기,경기도 김포시,정보처리S/W,응용 소프트웨어 개발 및 공급업,병원 정보 플랫폼 개발,2025-03-20,2028-03-19,벤처기업확인기관,신규
19575,주식회사 알엠에스,김**,혁신성장유형,인천,인천 남동구,제조업,전자저항기 및 전자카드 제조업,권선형저항기 시스템 및 매탈글래드 저항기 등,2025-03-19,2028-03-18,벤처기업확인기관,신규
19576,주식회사 플렉슬,권**,혁신성장유형,경기,경기 성남시,정보처리S/W,응용 소프트웨어 개발 및 공급업,플렉슬(노트 어플리케이션),2025-01-30,2028-01-29,벤처기업확인기관,재확인
19577,(주) 에스제이천하,"문**,박**",혁신성장유형,전북,전라북도 익산시,제조업,그 외 기타 플라스틱 제품 제조업,PVC재생원료,2025-02-09,2028-02-08,벤처기업확인기관,재확인
19578,주식회사 그린플로우,송**,혁신성장유형,경기,경기도 군포시,제조업,속도계 및 적산계기 제조업,수도미터 유량계,2025-01-24,2028-01-23,벤처기업확인기관,재확인
19579,주식회사 부원테크,강**,혁신성장유형,경남,경상남도 양산시,제조업,자동차용 금속 압형제품 제조업,자동차 전자부품,2025-02-18,2028-02-17,벤처기업확인기관,재확인
19580,(주)진성종합테크,최**,혁신성장유형,인천,인천광역시 서구,제조업,컨베이어장치 제조업,자동화설비 및 통신 ITC Pole,2025-01-22,2028-01-21,벤처기업확인기관,신규
19581,(주)히트가이즈,백**,혁신성장유형,전북,전북특별자치도 전주시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,음식점 매장관리시스템 및 기업형 식대관리시스템,2025-02-12,2028-02-11,벤처기업확인기관,신규
19582,기프트레터 주식회사,석**,혁신성장유형,서울,서울 강남구,도소매업,전자상거래 소매업,모바일 쿠폰,2025-02-05,2028-02-04,벤처기업확인기관,재확인
19583,(주)그린파워,강**,벤처투자유형,인천,인천광역시 남동구,제조업,기타 주변기기 제조업,"SMPS,콘트롤보드외",2025-01-07,2028-01-06,벤처기업확인기관,신규
19584,주식회사 미리글로벌,배**,혁신성장유형,경기,경기 용인시,제조업,인형 및 장난감 제조업,유아완구 및 용품 잡화 제조,2025-01-15,2028-01-14,벤처기업확인기관,신규
19585,주식회사 렉스퍼(LXPER Inc.),이**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI기반 맞춤형 영어교육 플랫폼,2024-12-23,2027-12-22,벤처기업확인기관,재확인
19586,주식회사 더만타스토리,정**,혁신성장유형,경기,경기도 고양시,기타,일반 영화 및 비디오물 제작업,"영화, 미디어의 VFX(특수효과) 제작 및 웹소설 기반의 웹북 플랫폼 개발중",2025-02-05,2028-02-04,벤처기업확인기관,신규
19587,렉스틸 주식회사,이**,혁신성장유형,경남,경상남도 함안군,제조업,육상 금속 골조 구조재 제조업,"파형섹션, 파형강판, 파형강관",2025-02-09,2028-02-08,벤처기업확인기관,재확인
19588,주식회사 넥서스엘리베러,김**,벤처투자유형,경기,경기도 남양주시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,엘리베이터 보양재,2025-02-12,2028-02-11,벤처기업확인기관,신규
19589,(주)케이투코프,김**,혁신성장유형,서울,서울 중랑구,제조업,가방 및 기타 보호용 케이스 제조업,"휴대폰악세사리,휴대폰악세사리",2025-01-30,2028-01-29,벤처기업확인기관,재확인
19590,주식회사 로원홀딩스,나**,혁신성장유형,서울,서울특별시 강남구,도소매업,전자상거래 소매 중개업,온라인명품구매플랫폼 ,2025-01-19,2028-01-18,벤처기업확인기관,재확인
19591,주식회사 페블스퀘어,이**,혁신성장유형,경기,경기도 성남시,제조업,비메모리용 및 기타 전자집적회로 제조업,"음성인식 모듈 , 인공지능 솔루션 , Edge AI chip",2025-02-16,2028-02-15,벤처기업확인기관,재확인
19592,㈜플라톰,배**,혁신성장유형,대전,대전광역시 중구,기타,기타 전문 서비스업,"교육용  소프트웨어 앱,웹 개발",2025-01-05,2028-01-04,벤처기업확인기관,재확인
19593,㈜화일ACS,김**,혁신성장유형,경기,경기도 부천시,제조업,산업용 냉장 및 냉동 장비 제조업,"에어드라이어, 애프터쿨러",2025-01-12,2028-01-11,벤처기업확인기관,재확인
19594,주식회사 디인사이트,이**,벤처투자유형,서울,서울특별시 강서구,건설운수,"화물운송 중개, 대리 및 관련 서비스업",국제물류주선업,2025-01-07,2028-01-06,벤처기업확인기관,신규
19595,(주)상록아이엔씨,이**,혁신성장유형,경기,경기 부천시,제조업,그 외 기타 전기장비 제조업,"전자제어기계,산업용 컴퓨터,유무선통신기기,컴퓨터시스템 통합 자문 및 구축 서비스업,컴퓨터시설 관리업,컴퓨터 프로그래밍 서비스업,연구개발업,학술연구용역",2025-02-11,2028-02-10,벤처기업확인기관,재확인
19596,주식회사 위드플러스,염**,혁신성장유형,경기,경기도 양주시,제조업,일반용 전기 조명장치 제조업,LED 조명등기구,2025-02-07,2028-02-06,벤처기업확인기관,재확인
19597,㈜아틀라스네트웍스,한**,혁신성장유형,서울,서울특별시 구로구,정보처리S/W,호스팅 및 관련 서비스업,xdn service,2025-02-12,2028-02-11,벤처기업확인기관,재확인
19598,(주)에바다엘티,강**,혁신성장유형,경기,경기도 평택시,제조업,반도체 제조용 기계 제조업,Heating Bellows,2025-02-19,2028-02-18,벤처기업확인기관,신규
19599,하이네이처(주),조**,혁신성장유형,인천,인천 연수구,제조업,화장품 제조업,"화장품 제조,도소매/산업바이오 제조/상품종합 도소매,전자상거래/비주거용건물 임대",2025-01-19,2028-01-18,벤처기업확인기관,재확인
19600,어스그린코리아㈜,박**,혁신성장유형,경기,경기도 김포시,제조업,그 외 기타 플라스틱 제품 제조업,"가로수보호판, 띠녹지보호판, 잔디보호매트, 빗물저금통",2025-02-13,2028-02-12,벤처기업확인기관,재확인
19601,(주)이녹스에코엠,조**,벤처투자유형,충남,충남 아산시,제조업,운송장비용 이차전지 제조업,"태양전지극판용,실리콘소재,유리실리콘사파이어,내화요업제품,연마제 제조/폐기물 처리",2025-01-26,2028-01-25,벤처기업확인기관,재확인
19602,(주)소프트스퀘어드,이**,벤처투자유형,부산,부산 동구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"컴퓨터프로그래밍,시스템 통합자문,구축,컴퓨터시설관리,정보기술,운영,자연과학,공학연구개발,고용 알선,임시,일용 인력 공급",2025-02-18,2028-02-17,벤처기업확인기관,재확인
19603,주식회사 마엇,오**,혁신성장유형,경남,경상남도 창원시,정보처리S/W,응용 소프트웨어 개발 및 공급업,디지털 안전·보건관리 시스템,2025-01-05,2028-01-04,벤처기업확인기관,재확인
19604,주식회사 노바운더리 아웃도어,임**,벤처투자유형,제주,제주특별자치도 제주시,정보처리S/W,응용 소프트웨어 개발 및 공급업,모바일 어플리케이션,2025-01-14,2028-01-13,벤처기업확인기관,신규
19605,주식회사 위트젠바이오테크놀로지,이**,벤처투자유형,서울,서울특별시 강남구,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업","유전체분석, 의학 및 약학 연구개발 서비스",2025-04-09,2028-04-08,벤처기업확인기관,신규
19606,이레테크,우**,연구개발유형,대전,대전광역시 동구,제조업,그 외 기타 특수목적용 기계 제조업,이화학기기,2025-02-17,2028-02-16,벤처기업확인기관,재확인
19607,주식회사 국민산업,손**,혁신성장유형,전남,전남 나주시,건설운수,기타 토목시설물 건설업,"토목공사, 시설물유지관리공사 외",2025-01-18,2028-01-17,벤처기업확인기관,재확인
19608,(주)아이폼,이**,혁신성장유형,경기,경기 남양주시,제조업,합성수지 및 기타 플라스틱 물질 제조업,"우레탄,봉제업,목재 가구 제조업,침구류,전자상거래,창고업,임대,제품, 상품 설계 및 연구개발",2024-12-10,2027-12-09,벤처기업확인기관,재확인
19609,주식회사 아이소파,정**,혁신성장유형,경기,경기도 화성시,제조업,"체조, 육상 및 체력단련용 장비 제조업","아이짐, 체육프로그램",2025-02-25,2028-02-24,벤처기업확인기관,재확인
19610,프링커코리아 주식회사,윤**,벤처투자유형,경기,경기도 수원시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,Prinker,2025-02-11,2028-02-10,벤처기업확인기관,재확인
19611,㈜와이즈콘,홍**,혁신성장유형,경기,경기도 안양시,제조업,방송장비 제조업,IP카메라외 CCTV,2025-02-20,2028-02-19,벤처기업확인기관,재확인
19612,주식회사 엘피텍,박**,벤처투자유형,경기,경기도 부천시,제조업,산업용 로봇 제조업,티칭리스 그리퍼,2025-02-05,2028-02-04,벤처기업확인기관,신규
19613,㈜제이디바이오사이언스,안**,벤처투자유형,광주,광주광역시 북구,연구개발서비스,의학 및 약학 연구개발업,비알코올성지방간 치료제 개발,2025-02-12,2028-02-11,벤처기업확인기관,재확인
19614,주식회사 유일테크,손**,혁신성장유형,경기,경기도 남양주시,도소매업,전자상거래 소매업,고무매트,2025-02-16,2028-02-15,벤처기업확인기관,재확인
19615,주식회사 엔코블,박**,혁신성장유형,서울,서울특별시 영등포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"네트워크 장비 판매, 시스템 통합 구축 및 관리 서비스, 소프트웨어 개발 및 공급",2025-02-05,2028-02-04,벤처기업확인기관,신규
19616,농업회사법인허니엣비 주식회사,이**,벤처투자유형,전남,전남 장성군,제조업,"식초, 발효 및 화학 조미료 제조업","식초, 발효 및 화학 조미료 제조업,양봉,벌통(나무),식료품병제조,단말장치제조(SW/HW포함),스마트팜시설(SW/HW포함),커피 및 차류 도매업,기타 가공식품 도매업",2025-02-12,2028-02-11,벤처기업확인기관,재확인
19617,주식회사 엔엑스쓰리게임즈,"최**,최**",벤처투자유형,서울,서울 강남구,정보처리S/W,모바일 게임 소프트웨어 개발 및 공급업,모바일 게임 소프트웨어,2024-11-27,2027-11-26,벤처기업확인기관,재확인
19618,주식회사 보살핌,장**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"응용 소프트웨어 개발 및 공급업,전자상거래 소매업,데이터베이스 및 온라인 정보 제공업,고용 알선업,방문복지 서비스 제공업",2025-01-05,2028-01-04,벤처기업확인기관,재확인
19619,주식회사 영우에스엔씨,이**,벤처투자유형,충북,충청북도 청주시,제조업,육상 금속 골조 구조재 제조업,"철강재가공 , 용접 , 제관 ",2024-12-22,2027-12-21,벤처기업확인기관,재확인
19620,㈜워터세이빙,박**,혁신성장유형,인천,인천광역시 서구,제조업,"탭, 밸브 및 유사장치 제조업",샤워헤드샤워줄주방헤드,2025-01-16,2028-01-15,벤처기업확인기관,재확인
19621,에프에스엠에이치 주식회사(FSMH),서**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,데이터베이스 및 온라인정보 제공업,의류 상품 거래 패션플랫폼 및 데이터 베이스 온라인 제공,2025-02-05,2028-02-04,벤처기업확인기관,신규
19622,인포빌드 주식회사,박**,혁신성장유형,인천,인천 부평구,제조업,배전반 및 전기 자동제어반 제조업,"배전반,전기자동제어반,자동호스릴장치.IoT기기 제조/전기공사/상품종합 도매",2025-03-18,2028-03-17,벤처기업확인기관,재확인
19623,현일텍스 주식회사,박**,혁신성장유형,경기,경기 포천시,제조업,편조원단 제조업,섬유 및 원단,2024-11-24,2027-11-23,벤처기업확인기관,재확인
19624,주식회사 에스앤리,신**,벤처투자유형,서울,서울특별시 마포구,도소매업,상품 종합 중개업,"상품 종합 중개업, 벤처, 경영 컨설팅업",2025-01-22,2028-01-21,벤처기업확인기관,신규
19625,㈜테라젝아시아,김**,혁신성장유형,대전,대전광역시 중구,제조업,화장품 제조업,용해성 마이크로 니들 ,2025-01-13,2028-01-12,벤처기업확인기관,재확인
19626,주식회사 다이빙버디,임**,혁신성장유형,세종,세종특별자치시 조치원읍,정보처리S/W,응용 소프트웨어 개발 및 공급업,"모바일 앱, 웹",2025-04-01,2028-03-31,벤처기업확인기관,신규
19627,자이언트코리아 주식회사,이**,혁신성장유형,강원,강원특별자치도 춘천시,제조업,화장품 제조업,"샴푸, 스킨케어",2025-02-05,2028-02-04,벤처기업확인기관,신규
19628,예진카본,"이**,이**",혁신성장유형,경북,경상북도 칠곡군,제조업,그 외 자동차용 신품 부품 제조업,자동차 부품 및 산업기계,2025-02-19,2028-02-18,벤처기업확인기관,신규
19629,주식회사 아이쏠(AISSOL),김**,혁신성장유형,경기,경기도 수원시,제조업,"레이더, 항행용 무선기기 및 측량기구 제조업",측량 센서,2025-04-15,2028-04-14,벤처기업확인기관,신규
19630,주식회사 이앤알,김**,혁신성장유형,부산,부산광역시 강서구,제조업,기타 가죽제품 제조업,"신발, 및 가방 등 재생가죽,  재생가죽 원단 ",2025-02-13,2028-02-12,벤처기업확인기관,재확인
19631,주식회사 엠데이터싱크,이**,혁신성장유형,경기,경기 용인시,정보처리S/W,기타 정보기술 및 컴퓨터운영 관련 서비스업,"정보기술,컴퓨터운영관련 서비스",2025-02-21,2028-02-20,벤처기업확인기관,재확인
19632,주식회사 파인,심**,혁신성장유형,경기,경기도 수원시,제조업,유선 통신장비 제조업,통신부품,2025-02-21,2028-02-20,벤처기업확인기관,재확인
19633,주식회사퓨어플라텍,강**,벤처투자유형,경기,경기도 화성시,제조업,그 외 기타 전기장비 제조업,플라즈마 장치 및 부대부품,2025-02-21,2028-02-20,벤처기업확인기관,재확인
19634,㈜플린트,김**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,유선 온라인 게임 소프트웨어 개발 및 공급업,게임소프트웨어 개발 ,2025-02-20,2028-02-19,벤처기업확인기관,재확인
19635,베트올(주),김**,연구개발유형,경기,경기 고양시,제조업,그 외 기타 의료용품 및 의약 관련제품 제조업,"의약품및생명공학관련,무역,생명공학관련용품,의약품연구및개발",2025-02-21,2028-02-20,벤처기업확인기관,재확인
19636,주식회사디디디,전**,벤처투자유형,세종,세종특별자치시 고운서길,기타,시각 디자인업,상권 기획 브랜딩,2025-01-22,2028-01-21,벤처기업확인기관,신규
19637,(주)리포바이오메드,정**,벤처투자유형,강원,강원특별자치도 춘천시,연구개발서비스,의학 및 약학 연구개발업,"의약품개발, 기능성화장품원료",2025-01-14,2028-01-13,벤처기업확인기관,신규
19638,마이하우스 주식회사,장**,벤처투자유형,광주,광주광역시 동구,정보처리S/W,응용 소프트웨어 개발 및 공급업,인테리어 자재세팅 및 견적산출 디자인모듈 생성,2025-01-14,2028-01-13,벤처기업확인기관,신규
19639,주식회사 서림,박**,혁신성장유형,경기,경기도 하남시,정보처리S/W,데이터베이스 및 온라인정보 제공업,서비스,2025-02-05,2028-02-04,벤처기업확인기관,신규
19640,(주)제노스템연구소,오**,혁신성장유형,경기,경기도 수원시,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",줄기세포보관및 연구개발,2025-01-22,2028-01-21,벤처기업확인기관,신규
19641,주식회사 엔엑스플러스,"최**,최**,홍**",벤처투자유형,서울,서울 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,게임제작,2024-12-15,2027-12-14,벤처기업확인기관,재확인
19642,진엔지니어링 주식회사,"채**,강**",벤처투자유형,서울,서울특별시 강남구,기타,건물 및 토목 엔지니어링 서비스업,"건설관련 기술서비스, 건설안전컨설팅",2025-01-22,2028-01-21,벤처기업확인기관,신규
19643,주식회사 쓰리윈즈,설**,혁신성장유형,서울,서울특별시 금천구,제조업,컴퓨터 제조업,모니터,2025-02-21,2028-02-20,벤처기업확인기관,재확인
19644,주식회사 엘앤디시스템,김**,혁신성장유형,서울,서울특별시 영등포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"홈쇼핑 ASP, 홈쇼핑 솔루션",2025-02-20,2028-02-19,벤처기업확인기관,재확인
19645,주식회사 에너지웍스,이**,혁신성장유형,경기,경기도 광명시,건설운수,일반전기 공사업,태양광발전소 시공,2025-02-05,2028-02-04,벤처기업확인기관,신규
19646,(주) 코텍,오**,혁신성장유형,경기,경기도 성남시,제조업,그 외 기타 전자부품 제조업,각방온도조절시스템 외,2025-01-26,2028-01-25,벤처기업확인기관,재확인
19647,주식회사 라온솔루션,박**,혁신성장유형,울산,울산광역시 울주군,제조업,그 외 기타 플라스틱 제품 제조업,복합재료(토우프레그),2025-03-19,2028-03-18,벤처기업확인기관,신규
19648,주식회사 알파모빌리티,김**,벤처투자유형,경기,경기 안산시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"응용 소프트웨어 개발 및 공급업,무형 재산권 임대업,퍼스널 모빌리티 제조업,기타 운송장비 임대업",2025-02-05,2028-02-04,벤처기업확인기관,신규
19649,주식회사 디딤에너지,장**,혁신성장유형,광주,광주 광산구,제조업,배전반 및 전기 자동제어반 제조업,배전반 및 전기 자동제어반 제조업,2025-01-22,2028-01-21,벤처기업확인기관,신규
19650,㈜뮤자인,이**,혁신성장유형,서울,서울특별시 강동구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,"디지털콘텐츠, 소프트웨어개발공급",2025-01-05,2028-01-04,벤처기업확인기관,재확인
19651,주식회사 에이엠티인터내셔널,이**,혁신성장유형,경기,경기도 시흥시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,"용접봉, 금형이형제,철망",2025-02-05,2028-02-04,벤처기업확인기관,신규
19652,(주)플로우서퍼,한**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,교육용 앱과 콘텐츠 제작 및 서비스,2025-01-22,2028-01-21,벤처기업확인기관,신규
19653,코리아식품주식회사,민**,혁신성장유형,경기,경기도 화성시,제조업,빵류 제조업,제빵생산,2025-02-12,2028-02-11,벤처기업확인기관,신규
19654,주식회사 윤정이엔지,윤**,혁신성장유형,인천,인천광역시 연수구,제조업,도장 및 기타 피막처리업,미사일 탄두 코팅컴파운드,2025-02-18,2028-02-17,벤처기업확인기관,신규
19655,㈜대일특수강,박**,혁신성장유형,대구,대구광역시 달서구,제조업,그 외 기타 금속가공업,비닐하우스 골격구조,2025-02-21,2028-02-20,벤처기업확인기관,재확인
19656,주식회사 캔,최**,혁신성장유형,경기,경기도 안양시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,즉석식품조리기,2025-02-05,2028-02-04,벤처기업확인기관,재확인
19657,(주)디팡,조**,혁신성장유형,경기,경기도 파주시,제조업,기타 플라스틱 발포 성형제품 제조업,"반려동물용품, 생활용품",2025-07-01,2028-06-30,벤처기업확인기관,재확인
19658,주식회사 웍스아웃,"박**,강**",벤처투자유형,서울,서울특별시 마포구,도소매업,남녀용 겉옷 및 셔츠 도매업,"의류, 신발 등",2025-05-08,2028-05-07,벤처기업확인기관,신규
19659,주식회사 에이스라이프,하**,혁신성장유형,충남,충청남도 아산시,제조업,기타 가정용 전기기기 제조업,전자식 비데,2025-02-13,2028-02-12,벤처기업확인기관,재확인
19660,(주)다나은떠블유앤비,주**,혁신성장유형,경기,경기 파주시,제조업,가정용 비전기식 조리 및 난방 기구 제조업,찜질팩 외,2025-04-08,2028-04-07,벤처기업확인기관,재확인
19661,주식회사 위스,채**,혁신성장유형,전북,전라북도 군산시,제조업,그 외 기타 특수목적용 기계 제조업,스마트자동소화재떨이 폐기물자동포장기,2025-02-12,2028-02-11,벤처기업확인기관,재확인
19662,주식회사 도시곳간,민**,벤처투자유형,서울,서울특별시 광진구,도소매업,전자상거래 소매업,로컬농부 직거래& 셰프 반찬과 요리 오프라인 플렛폼 ,2025-02-16,2028-02-15,벤처기업확인기관,재확인
19663,주식회사 컨텐츠다,한**,연구개발유형,경기,경기도 부천시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"디지털콘텐츠 개발 및 공급, 소프트웨어 개발 및 공급, 컨설팅, 가상현실 기기제작, 교육콘텐츠 제공, 이러닝 등",2025-01-12,2028-01-11,벤처기업확인기관,재확인
19664,유한회사 대한중공업,황**,혁신성장유형,대전,대전광역시 유성구,제조업,기타 일반 기계 및 장비 수리업,굴삭기 집계,2025-02-11,2028-02-10,벤처기업확인기관,재확인
19665,주식회사 에프원공조,송**,혁신성장유형,경남,경상남도 창원시,제조업,산업용 냉장 및 냉동 장비 제조업,냉동공조부품 ,2024-12-08,2027-12-07,벤처기업확인기관,재확인
19666,주식회사 아이콘캐스팅,황**,벤처투자유형,경기,경기도 성남시,정보처리S/W,응용 소프트웨어 개발 및 공급업,글로벌 팬덤 플랫폼 피크닠(Picnic),2025-03-18,2028-03-17,벤처기업확인기관,신규
19667,주식회사 비트썸원,김**,혁신성장유형,서울,서울특별시 도봉구,기타,음악 및 기타 오디오물 출판업,"음악 및 음반제작,중개업,전자상거래,데이터베이스 및 온라인정보제공,연예인매니저업,미디어콘텐츠창작업",2025-02-19,2028-02-18,벤처기업확인기관,재확인
19668,(주) 예경산업개발,김**,혁신성장유형,경기,경기도 김포시,제조업,그 외 기타 분류 안된 금속 가공 제품 제조업,"교량이음장치,교량난간,교량받침",2025-02-05,2028-02-04,벤처기업확인기관,재확인
19669,주식회사 헬로우네이쳐코리아,M**,벤처투자유형,경기,경기도 광주시,제조업,그 외 기타 식료품 제조업,마카다미아 식품가공,2025-02-19,2028-02-18,벤처기업확인기관,신규
19670,주식회사 고흐박스,김**,벤처투자유형,서울,서울특별시 강남구,기타,그 외 기타 분류 안된 교육기관,교육 및 강연,2025-02-05,2028-02-04,벤처기업확인기관,신규
19671,주식회사 제로포인트트레일,유**,벤처투자유형,제주,제주특별자치도 제주시,기타,여행사업,씨 투 써밋 트레킹 챌린지 프로그램 및 관련 상품,2025-01-26,2028-01-25,벤처기업확인기관,재확인
19672,핵사에너지 주식회사,고**,벤처투자유형,경기,경기도 성남시,제조업,전동기 및 발전기 제조업,그래핀/BCN 투명 필름형 BIPV 패널 (태양광 패널),2025-02-05,2028-02-04,벤처기업확인기관,신규
19673,㈜이로스타일,임**,혁신성장유형,서울,서울특별시 성동구,제조업,구두류 제조업,웨딩슈즈,2025-01-19,2028-01-18,벤처기업확인기관,재확인
19674,㈜조인엔터프라이즈,장**,혁신성장유형,경기,경기도 용인시,제조업,정형외과용 및 신체보정용 기기 제조업,의료부목,2025-01-08,2028-01-07,벤처기업확인기관,재확인
19675,주식회사 중원환경산업,조**,혁신성장유형,충북,충북 충주시,기타,지정 외 폐기물 처리업,"폐기물수집,중간처리/고철,비철금속,1차금속제품 도소매",2025-02-10,2028-02-09,벤처기업확인기관,재확인
19676,주식회사 포인트나인크루,고**,벤처투자유형,서울,서울 강동구,제조업,건강기능식품 제조업,건강 기능식품 제조업,2025-02-23,2028-02-22,벤처기업확인기관,재확인
19677,(주)로보메이션,김**,혁신성장유형,서울,서울특별시 송파구,제조업,기타 주변기기 제조업,네트워크 기반 로봇,2025-02-25,2028-02-24,벤처기업확인기관,재확인
19678,에이단(EIDAN),이**,혁신성장유형,서울,서울특별시 강남구,제조업,귀금속 및 관련제품 제조업,"재활용 금, 은 업사이클 주얼리 제조",2025-02-12,2028-02-11,벤처기업확인기관,신규
19679,주식회사 스윗푸딩,신**,혁신성장유형,경기,경기 양주시,제조업,그 외 기타 봉제의복 제조업,반려동물 의류 및 악세서리 제조,2025-07-17,2028-07-16,벤처기업확인기관,신규
19680,(주)립스,주**,혁신성장유형,경기,경기도 성남시,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",전기저장시설 안전진단 보고서,2025-02-05,2028-02-04,벤처기업확인기관,신규
19681,클라우드호스탈 주식회사,N**,벤처투자유형,대전,대전광역시 서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,의료 서버스,2024-12-11,2027-12-10,벤처기업확인기관,재확인
